;VARIABLE_CIBLE
0;0.65
1;0.7
2;0.6
3;0.45
4;0.65
5;0.55
6;0.8
7;0.3
8;0.65
9;0.5
10;0.4
11;0.6
12;0.7
13;0.55
14;0.55
15;0.75
16;0.5
17;0.8
18;0.75
19;0.65
20;0.7
21;0.55
22;0.7
23;0.7
24;0.55
25;0.55
26;0.45
27;0.6
28;0.7
29;0.55
30;0.8
31;0.55
32;0.5
33;0.45
34;0.6
35;0.75
36;0.55
37;0.45
38;0.7
39;0.55
40;0.15
41;0.45
42;0.5
43;0.6
44;0.35
45;0.6
46;0.75
47;0.45
48;0.65
49;0.6
50;0.7
51;0.6
52;0.85
53;0.75
54;0.5
55;0.7
56;0.8
57;0.6
58;0.75
59;0.7
60;0.5
61;0.75
62;0.45
63;0.75
64;0.7
65;0.4
66;0.75
67;0.5
68;0.75
69;0.75
70;0.45
71;0.85
72;0.6
73;0.4
74;0.75
75;0.5
76;0.55
77;0.4
78;0.7
79;0.3
80;0.8
81;0.55
82;0.55
83;0.55
84;0.6
85;0.75
86;0.6
87;0.35
88;0.7
89;0.65
90;0.65
91;0.7
92;0.4
93;0.55
94;0.7
95;0.8
96;0.55
97;0.55
98;0.5
99;0.75
100;0.45
101;0.45
102;0.6
103;0.55
104;0.7
105;0.7
106;0.65
107;0.55
108;0.6
109;0.75
110;0.65
111;0.55
112;0.3
113;0.6
114;0.8
115;0.5
116;0.75
117;0.5
118;0.65
119;0.6
120;0.5
121;0.65
122;0.6
123;0.55
124;0.6
125;0.55
126;0.5
127;0.6
128;0.5
129;0.55
130;0.3
131;0.4
132;0.65
133;0.4
134;0.7
135;0.7
136;0.6
137;0.7
138;0.8
139;0.55
140;0.65
141;0.5
142;0.6
143;0.8
144;0.6
145;0.7
146;0.3
147;0.35
148;0.45
149;0.65
150;0.8
151;0.35
152;0.45
153;0.6
154;0.85
155;0.7
156;0.45
157;0.6
158;0.75
159;0.55
160;0.4
161;0.35
162;0.3
163;0.65
164;0.45
165;0.6
166;0.6
167;0.65
168;0.2
169;0.8
170;0.6
171;0.3
172;0.55
173;0.75
174;0.6
175;0.85
176;0.6
177;0.65
178;0.35
179;0.55
180;0.55
181;0.65
182;0.45
183;0.45
184;0.5
185;0.7
186;0.6
187;0.7
188;0.55
189;0.5
190;0.7
191;0.5
192;0.65
193;0.35
194;0.7
195;0.75
196;0.7
197;0.35
198;0.7
199;0.55
200;0.8
201;0.45
202;0.5
203;0.7
204;0.65
205;0.35
206;0.5
207;0.35
208;0.4
209;0.6
210;0.75
211;0.85
212;0.35
213;0.9
214;0.7
215;0.4
216;0.55
217;0.65
218;0.7
219;0.65
220;0.7
221;0.9
222;0.75
223;0.4
224;0.45
225;0.7
226;0.5
